"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 23 12:47:06 GMT 2025","Sun Mar 23 12:47:06 GMT 2025","16","","org.itmo.testing.lab2.integration.IntegrationRobustTest","","org.itmo.testing.lab2.integration.IntegrationRobustTest","testRecordSessionMissingDateFrom","Тест записи сессии (пустое время входа)",""
"passed","Sun Mar 23 12:47:06 GMT 2025","Sun Mar 23 12:47:06 GMT 2025","17","","org.itmo.testing.lab2.integration.IntegrationRobustTest","","org.itmo.testing.lab2.integration.IntegrationRobustTest","testRecordSession","Тест записи сессии (пустое время выхода)",""
"passed","Sun Mar 23 12:47:06 GMT 2025","Sun Mar 23 12:47:06 GMT 2025","15","","org.itmo.testing.lab2.integration.IntegrationRobustTest","","org.itmo.testing.lab2.integration.IntegrationRobustTest","testRecordSessionMissingId","Тест записи сессии (пустой идентификатор)",""
"passed","Sun Mar 23 12:47:06 GMT 2025","Sun Mar 23 12:47:06 GMT 2025","15","","org.itmo.testing.lab2.integration.IntegrationRobustTest","","org.itmo.testing.lab2.integration.IntegrationRobustTest","testGetMonthlyActivityNoUser","Тест получения активности пользователей за месяц (нет параметра)",""
"passed","Sun Mar 23 12:47:06 GMT 2025","Sun Mar 23 12:47:06 GMT 2025","15","","org.itmo.testing.lab2.integration.IntegrationRobustTest","","org.itmo.testing.lab2.integration.IntegrationRobustTest","testUserRegistration","Тест регистрации пользователя (пустой идентификатор)",""
"passed","Sun Mar 23 12:47:08 GMT 2025","Sun Mar 23 12:47:08 GMT 2025","3","","org.itmo.testing.lab2.service.ServiceMockTest","","org.itmo.testing.lab2.service.ServiceMockTest","testGetUserStatusHighlyActive","testGetUserStatusHighlyActive()",""
"passed","Sun Mar 23 12:47:06 GMT 2025","Sun Mar 23 12:47:06 GMT 2025","11","","org.itmo.testing.lab2.integration.IntegrationRobustTest","","org.itmo.testing.lab2.integration.IntegrationRobustTest","testGetMonthlyActivityNoDateParameter","Тест получения неактивных пользователей (нет параметра)",""
"passed","Sun Mar 23 12:47:06 GMT 2025","Sun Mar 23 12:47:08 GMT 2025","1775","","org.itmo.testing.lab2.service.ServiceMockTest","","org.itmo.testing.lab2.service.ServiceMockTest","getUserLastSessionDateTestSingleSessions","getUserLastSessionDateTestSingleSessions()",""
"passed","Sun Mar 23 12:47:06 GMT 2025","Sun Mar 23 12:47:06 GMT 2025","15","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSession","Тест записи сессии",""
"passed","Sun Mar 23 12:47:06 GMT 2025","Sun Mar 23 12:47:06 GMT 2025","14","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetTotalActivity","Тест получения общего времени активности",""
"skipped","Sun Mar 23 12:47:06 GMT 2025","Sun Mar 23 12:47:06 GMT 2025","0","","org.itmo.testing.lab2.integration.IntegrationRobustTest","","org.itmo.testing.lab2.integration.IntegrationRobustTest","testDoubleRegister","Тест регистрации пользователя (повторная регистрация)",""
"passed","Sun Mar 23 12:47:06 GMT 2025","Sun Mar 23 12:47:06 GMT 2025","16","","org.itmo.testing.lab2.integration.IntegrationRobustTest","","org.itmo.testing.lab2.integration.IntegrationRobustTest","testUserRegistrationNameMissing","Тест регистрации пользователя (пустое имя)",""
"passed","Sun Mar 23 12:47:08 GMT 2025","Sun Mar 23 12:47:08 GMT 2025","5","","org.itmo.testing.lab2.service.ServiceMockTest","","org.itmo.testing.lab2.service.ServiceMockTest","testGetUserStatusInactive","testGetUserStatusInactive()",""
"passed","Sun Mar 23 12:47:04 GMT 2025","Sun Mar 23 12:47:06 GMT 2025","1603","","org.itmo.testing.lab2.integration.IntegrationRobustTest","","org.itmo.testing.lab2.integration.IntegrationRobustTest","testGetMonthlyActivityNoIdParameter","Тест получения активности пользователей за месяц (нет параметра)",""
"skipped","Sun Mar 23 12:47:08 GMT 2025","Sun Mar 23 12:47:08 GMT 2025","0","","org.itmo.testing.lab2.service.ServiceMockTest","","org.itmo.testing.lab2.service.ServiceMockTest","getUserLastSessionDateTestEmptyList","getUserLastSessionDateTestEmptyList()",""
"skipped","Sun Mar 23 12:47:06 GMT 2025","Sun Mar 23 12:47:06 GMT 2025","0","","org.itmo.testing.lab2.integration.IntegrationRobustTest","","org.itmo.testing.lab2.integration.IntegrationRobustTest","testGetTotalActivity","Тест получения общего времени активности (нет пользователя)",""
"passed","Sun Mar 23 12:47:08 GMT 2025","Sun Mar 23 12:47:08 GMT 2025","2","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus_Active","testGetUserStatus_Active()",""
"passed","Sun Mar 23 12:47:06 GMT 2025","Sun Mar 23 12:47:06 GMT 2025","17","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testUserRegistration","Тест регистрации пользователя",""
"passed","Sun Mar 23 12:47:06 GMT 2025","Sun Mar 23 12:47:06 GMT 2025","14","","org.itmo.testing.lab2.integration.IntegrationRobustTest","","org.itmo.testing.lab2.integration.IntegrationRobustTest","testGetMonthlyActivityBadDate","Тест получения активности пользователей за месяц (неверный формат даты)",""
"passed","Sun Mar 23 12:47:08 GMT 2025","Sun Mar 23 12:47:08 GMT 2025","4","","org.itmo.testing.lab2.service.ServiceMockTest","","org.itmo.testing.lab2.service.ServiceMockTest","getUserLastSessionDateTestMultipleSessions","getUserLastSessionDateTestMultipleSessions()",""
"passed","Sun Mar 23 12:47:06 GMT 2025","Sun Mar 23 12:47:06 GMT 2025","52","","org.itmo.testing.lab2.integration.IntegrationRobustTest","","org.itmo.testing.lab2.integration.IntegrationRobustTest","testRecordSessionBadDate","Тест записи сессии (пустое время выхода)",""
